NIM,Nama_Mahasiswa,Kelas,Age_at_enrollment,Gender,Admission_grade,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Tuition_fees_up_to_date,Debtor,Scholarship_holder
2024IFB021,Hadi Wijaya,IF-B,25,0,100.2,6,8,4,13.3,6,10,2,6.3,1,0,0
2024IFB022,Aditya Wijaya,IF-B,19,0,133.0,6,8,4,8.6,6,9,3,5.7,0,0,0
2024IFB023,Eko Puspa,IF-B,20,1,124.5,6,10,2,8.9,6,9,3,9.7,0,1,0
2024IFB024,Nadia Wijaya,IF-B,22,0,117.4,6,12,0,0.0,6,10,2,11.7,0,0,0
2024IFB025,Aditya Utami,IF-B,21,1,120.8,6,11,1,6.8,6,11,1,13.2,1,1,0
2024IFB026,Aulia Firmansyah,IF-B,22,1,106.7,6,10,2,7.8,6,6,6,8.1,0,1,0
2024IFB027,Gita Nugroho,IF-B,23,1,142.5,6,9,3,7.6,6,10,2,11.8,0,0,0
2024IFB028,Oki Puspa,IF-B,19,0,119.3,6,11,1,8.1,6,10,2,9.1,0,1,0
2024IFB029,Aulia Wulandari,IF-B,23,0,119.1,6,11,1,9.7,6,11,1,8.8,0,0,0
2024IFB030,Dewi Anggraini,IF-B,21,1,125.3,6,8,4,10.3,6,9,3,11.3,1,1,0
2024IFB031,Taufik Hidayat,IF-B,20,0,122.8,6,6,6,13.2,6,9,3,10.8,0,0,0
2024IFB032,Rian Kusuma,IF-B,21,1,120.2,6,10,2,7.6,6,11,1,5.4,0,0,0
2024IFB033,Farhan Utami,IF-B,18,1,110.1,6,11,1,12.0,6,12,0,0.0,1,1,0
2024IFB034,Rafi Hidayat,IF-B,21,1,122.7,6,11,1,9.3,6,9,3,12.5,1,1,0
2024IFB035,Muhammad Puspa,IF-B,18,0,136.8,6,12,0,0.0,6,9,3,7.7,1,0,0
2024IFB036,Kartika Kusuma,IF-B,21,0,131.5,6,7,5,11.3,6,11,1,10.1,1,1,0
2024IFB037,Muhammad Hidayat,IF-B,24,1,133.9,6,11,1,7.3,6,7,5,10.4,1,0,0
2024IFB038,Dimas Saputra,IF-B,18,0,112.9,6,9,3,10.6,6,11,1,9.8,0,0,0
2024IFB039,Joko Anggraini,IF-B,19,0,108.1,6,11,1,10.2,6,10,2,7.9,1,0,0
2024IFB040,Farhan Santoso,IF-B,23,1,116.7,6,9,3,10.9,6,7,5,7.6,1,0,1
2024IFC001,Dewi Permana,IF-C,25,1,118.6,6,9,3,10.4,6,10,2,9.1,0,0,0
2024IFC002,Lestari Setiawan,IF-C,23,1,128.9,6,8,4,15.2,6,10,2,12.0,1,0,0
2024IFC003,Aulia Hidayat,IF-C,22,1,101.1,6,11,1,8.4,6,11,1,10.5,0,1,0
2024IFC004,Farhan Pratama,IF-C,23,0,133.3,6,12,0,0.0,6,11,1,8.3,1,1,0
2024IFC005,Aditya Anggraini,IF-C,20,1,116.4,6,11,1,8.4,6,6,6,11.1,1,1,0
2024IFC006,Indah Wijaya,IF-C,24,1,113.7,6,7,5,8.6,6,10,2,2.4,0,0,0
2024IFC007,Gita Santoso,IF-C,21,0,107.9,6,8,4,8.4,6,8,4,12.0,0,0,0
2024IFC008,Hadi Nugroho,IF-C,22,1,101.5,6,9,3,12.4,6,11,1,5.0,0,1,0
2024IFC009,Farhan Utami,IF-C,20,1,126.2,6,9,3,12.9,6,11,1,8.3,0,1,0
2024IFC010,Aditya Wulandari,IF-C,20,1,118.7,6,9,3,8.5,6,12,0,0.0,0,0,0
2024IFC011,Lestari Puspa,IF-C,18,1,105.1,6,11,1,8.0,6,9,3,6.1,1,1,0
2024IFC012,Dimas Nugroho,IF-C,23,1,105.0,6,7,5,10.8,6,11,1,12.0,1,1,0
2024IFC013,Wahyu Siregar,IF-C,19,0,114.6,6,10,2,8.6,6,8,4,8.1,0,1,0
2024IFC014,Farhan Siregar,IF-C,25,0,134.7,6,10,2,11.2,6,10,2,10.0,0,1,0
2024IFC015,Aulia Permana,IF-C,19,1,115.4,6,10,2,10.2,6,7,5,9.1,0,1,0
2024IFC016,Farhan Hidayat,IF-C,22,1,103.0,6,12,0,0.0,6,11,1,10.3,0,0,0
2024IFC017,Bagas Wijaya,IF-C,24,1,115.5,6,11,1,13.2,6,8,4,9.4,1,1,0
2024IFC018,Rian Utami,IF-C,19,1,115.3,6,9,3,13.8,6,9,3,6.1,0,1,0
2024IFC019,Rian Siregar,IF-C,21,1,95.0,6,12,0,0.0,6,9,3,11.6,1,0,0
2024IFC020,Dimas Siregar,IF-C,19,1,117.5,6,9,3,8.9,6,8,4,8.0,0,0,0
2024IFC021,Bagas Saputra,IF-C,22,1,115.7,6,11,1,10.4,6,9,3,5.5,0,0,0
2024IFC022,Dewi Utami,IF-C,25,1,125.0,6,10,2,10.5,6,10,2,8.2,0,1,0
2024IFC023,Aditya Pratama,IF-C,19,1,136.5,6,11,1,11.2,6,12,0,0.0,0,1,0
2024IFC024,Taufik Saputra,IF-C,21,1,129.3,6,10,2,14.2,6,12,0,0.0,0,0,0
2024IFC025,Ilham Permana,IF-C,18,1,115.3,6,9,3,9.4,6,8,4,8.4,1,0,0
2024IFC026,Aulia Santoso,IF-C,24,0,106.9,6,11,1,8.0,6,10,2,8.4,0,0,0
2024IFC027,Rafi Kusuma,IF-C,22,0,143.7,6,9,3,6.8,6,9,3,8.4,0,1,0
2024IFC028,Rafi Setiawan,IF-C,18,0,118.6,6,10,2,8.2,6,10,2,14.2,0,1,0
2024IFC029,Annisa Siregar,IF-C,18,1,118.1,6,9,3,9.7,6,12,0,0.0,1,1,0
2024IFC030,Fajar Utami,IF-C,18,0,117.8,6,7,5,13.7,6,12,0,0.0,0,0,0
2024IFC031,Wahyu Saputra,IF-C,20,1,120.0,6,9,3,8.7,6,9,3,11.7,1,0,0
2024IFC032,Fajar Setiawan,IF-C,24,1,116.6,6,11,1,10.3,6,10,2,9.8,1,0,0
2024IFC033,Putri Mahendra,IF-C,25,0,112.3,6,12,0,0.0,6,11,1,8.6,0,0,0
2024IFC034,Aditya Nugroho,IF-C,23,1,112.5,6,11,1,12.4,6,10,2,8.7,1,1,0
2024IFC035,Dewi Santoso,IF-C,24,0,117.7,6,9,3,15.4,6,12,0,0.0,1,1,0
2024IFC036,Putri Wijaya,IF-C,20,0,112.6,6,12,0,0.0,6,10,2,9.1,0,1,0
2024IFC037,Wahyu Kusuma,IF-C,23,1,110.9,6,10,2,8.7,6,11,1,10.9,0,1,0
2024IFC038,Taufik Wijaya,IF-C,24,0,119.1,6,9,3,12.1,6,9,3,9.3,0,0,0
2024IFC039,Taufik Hidayat,IF-C,18,0,115.5,6,10,2,11.3,6,11,1,11.0,0,1,0
2024IFC040,Wahyu Nugroho,IF-C,22,1,133.0,6,8,4,13.9,6,10,2,9.0,0,1,0
