NIM,Nama_Mahasiswa,Kelas,Age_at_enrollment,Gender,Admission_grade,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Tuition_fees_up_to_date,Debtor,Scholarship_holder
2024IFA036,Aditya Firmansyah,IF-A,20,1,132.4,6,7,5,12.9,6,7,5,13.5,1,1,0
2024IFA037,Aulia Anggraini,IF-A,21,1,130.7,6,7,5,13.2,6,7,5,11.0,1,0,0
2024IFA038,Kartika Kusuma,IF-A,21,1,131.7,6,8,4,12.2,6,9,3,13.3,0,1,0
2024IFA039,Gita Kusuma,IF-A,23,0,119.0,6,9,3,11.3,6,11,1,14.2,0,0,1
2024IFA040,Ilham Mahendra,IF-A,23,1,128.7,6,8,4,13.0,6,8,4,14.8,1,0,0
2024IFB001,Kartika Mahendra,IF-B,18,0,145.9,6,6,6,12.5,6,10,2,8.7,1,0,0
2024IFB002,Reza Kusuma,IF-B,23,1,123.5,6,9,3,12.3,6,10,2,13.9,0,1,0
2024IFB003,Joko Siregar,IF-B,18,1,127.3,6,8,4,11.6,6,7,5,7.4,1,0,0
2024IFB004,Ilham Permana,IF-B,21,1,137.6,6,8,4,9.1,6,10,2,9.6,0,0,1
2024IFB005,Eko Santoso,IF-B,18,1,114.8,6,8,4,11.2,6,8,4,12.4,0,0,0
2024IFB006,Hadi Hidayat,IF-B,22,0,133.3,6,6,6,11.2,6,11,1,14.7,1,0,0
2024IFB007,Rafi Wijaya,IF-B,19,0,133.4,6,10,2,11.4,6,9,3,14.5,1,0,0
2024IFB008,Kartika Firmansyah,IF-B,19,1,134.7,6,7,5,9.6,6,8,4,13.8,1,0,0
2024IFB009,Annisa Anggraini,IF-B,18,0,128.5,6,7,5,15.0,6,8,4,13.6,1,1,0
2024IFB010,Bagas Hidayat,IF-B,22,1,125.3,6,8,4,13.1,6,9,3,14.7,1,0,0
2024IFB011,Kartika Pratama,IF-B,20,1,122.8,6,6,6,12.7,6,8,4,11.0,1,0,0
2024IFB012,Dimas Wijaya,IF-B,23,1,116.1,6,6,6,10.6,6,6,6,11.9,1,0,0
2024IFB013,Wahyu Utami,IF-B,18,1,129.2,6,7,5,12.4,6,6,6,13.0,0,0,1
2024IFB014,Taufik Utami,IF-B,23,1,120.7,6,7,5,14.3,6,6,6,12.7,0,0,1
2024IFB015,Dian Wulandari,IF-B,20,1,138.4,6,6,6,12.3,6,7,5,11.7,1,0,0
2024IFB016,Rian Siregar,IF-B,23,1,142.3,6,7,5,12.0,6,8,4,11.1,0,0,0
2024IFB017,Dinda Hidayat,IF-B,22,0,136.1,6,6,6,12.6,6,10,2,13.0,1,0,1
2024IFB018,Fajar Hidayat,IF-B,19,0,130.5,6,8,4,15.3,6,9,3,11.2,1,0,0
2024IFB019,Dimas Ramadhan,IF-B,21,1,140.1,6,8,4,12.6,6,9,3,11.4,1,0,0
2024IFB020,Lestari Wijaya,IF-B,21,0,125.3,6,7,5,10.4,6,9,3,9.6,1,1,1
2024IFB021,Wahyu Nasution,IF-B,18,1,117.7,6,7,5,10.5,6,10,2,10.0,1,0,0
2024IFB022,Nadia Santoso,IF-B,22,0,144.7,6,9,3,11.8,6,11,1,12.2,1,0,1
2024IFB023,Aulia Firmansyah,IF-B,18,0,128.5,6,8,4,13.8,6,8,4,13.6,0,1,0
2024IFB024,Dian Siregar,IF-B,20,0,135.5,6,7,5,14.2,6,9,3,11.0,1,0,0
2024IFB025,Muhammad Firmansyah,IF-B,19,0,135.3,6,7,5,15.1,6,8,4,12.5,0,0,1
2024IFB026,Muhammad Kusuma,IF-B,20,0,123.4,6,8,4,11.9,6,8,4,6.1,1,0,0
2024IFB027,Reza Setiawan,IF-B,23,0,125.0,6,7,5,13.5,6,9,3,11.5,1,1,0
2024IFB028,Indah Nugroho,IF-B,20,1,127.3,6,10,2,12.5,6,8,4,11.2,0,0,0
2024IFB029,Muhammad Anggraini,IF-B,18,0,128.4,6,8,4,13.4,6,8,4,13.1,0,0,1
2024IFB030,Dinda Pratama,IF-B,22,1,126.3,6,9,3,15.6,6,11,1,11.6,0,0,0
2024IFB031,Joko Nugroho,IF-B,18,0,124.6,6,8,4,11.9,6,6,6,12.3,1,0,0
2024IFB032,Rafi Wijaya,IF-B,18,0,121.1,6,6,6,14.1,6,8,4,13.4,1,0,0
2024IFB033,Rian Santoso,IF-B,21,1,124.6,6,6,6,9.3,6,7,5,13.0,1,1,1
2024IFB034,Wahyu Wijaya,IF-B,22,1,137.0,6,6,6,9.2,6,8,4,12.6,1,1,1
2024IFB035,Dian Puspa,IF-B,23,1,119.0,6,9,3,10.2,6,8,4,13.9,0,0,0
2024IFB036,Rafi Firmansyah,IF-B,19,1,131.2,6,6,6,13.1,6,9,3,13.1,1,1,0
2024IFB037,Ilham Saputra,IF-B,21,1,128.1,6,7,5,12.8,6,8,4,9.9,0,0,0
2024IFB038,Oki Saputra,IF-B,21,1,130.0,6,7,5,12.9,6,9,3,10.5,1,0,1
2024IFB039,Ilham Nugroho,IF-B,22,1,125.2,6,6,6,12.3,6,9,3,11.4,1,1,0
2024IFB040,Budi Ramadhan,IF-B,22,1,122.1,6,8,4,13.1,6,6,6,11.3,1,0,1
2024IFC001,Citra Nasution,IF-C,19,1,136.5,6,7,5,11.6,6,8,4,12.5,1,0,0
2024IFC002,Citra Nasution,IF-C,18,0,130.0,6,7,5,11.9,6,8,4,13.7,1,0,1
2024IFC003,Nadia Pratama,IF-C,18,1,127.5,6,7,5,10.6,6,9,3,12.5,1,0,0
2024IFC004,Kartika Kusuma,IF-C,21,0,106.8,6,7,5,11.6,6,8,4,13.5,1,0,0
2024IFC005,Reza Santoso,IF-C,20,1,135.0,6,8,4,10.9,6,8,4,11.5,1,0,0
2024IFC006,Taufik Hidayat,IF-C,18,0,131.0,6,8,4,9.4,6,7,5,9.7,1,0,0
2024IFC007,Siti Setiawan,IF-C,23,0,120.5,6,6,6,13.2,6,7,5,10.3,0,0,0
2024IFC008,Nadia Nasution,IF-C,22,1,127.2,6,6,6,11.7,6,7,5,12.3,1,0,1
2024IFC009,Dinda Wijaya,IF-C,22,0,123.3,6,7,5,13.5,6,11,1,12.3,1,0,0
2024IFC010,Putri Anggraini,IF-C,23,1,142.6,6,8,4,13.7,6,9,3,11.2,1,0,1
2024IFC011,Dimas Permana,IF-C,19,1,120.7,6,9,3,8.7,6,7,5,10.9,1,0,0
2024IFC012,Fajar Anggraini,IF-C,21,1,129.3,6,9,3,10.8,6,7,5,11.5,1,0,0
2024IFC013,Gita Siregar,IF-C,20,0,130.9,6,6,6,13.1,6,10,2,14.8,1,0,0
2024IFC014,Taufik Nasution,IF-C,22,1,120.6,6,6,6,13.4,6,10,2,8.0,1,0,0
2024IFC015,Bagas Setiawan,IF-C,19,0,119.3,6,8,4,12.4,6,8,4,13.5,1,0,0
2024IFC016,Farhan Anggraini,IF-C,18,1,125.5,6,7,5,12.8,6,6,6,12.1,1,0,0
2024IFC017,Rian Utami,IF-C,19,1,141.7,6,7,5,11.1,6,10,2,11.5,1,0,0
2024IFC018,Kartika Santoso,IF-C,22,1,125.4,6,8,4,13.5,6,7,5,10.2,1,0,0
2024IFC019,Rian Siregar,IF-C,20,0,119.6,6,9,3,12.6,6,6,6,13.9,1,1,0
2024IFC020,Dinda Nasution,IF-C,18,1,124.6,6,7,5,10.8,6,8,4,12.4,1,0,0
2024IFC021,Dian Wijaya,IF-C,22,1,129.1,6,8,4,12.1,6,6,6,11.4,1,0,1
2024IFC022,Dian Nasution,IF-C,20,0,118.2,6,7,5,12.6,6,9,3,9.6,1,1,1
2024IFC023,Rian Hidayat,IF-C,23,0,118.8,6,6,6,11.8,6,6,6,13.1,1,1,1
2024IFC024,Dinda Wijaya,IF-C,22,1,136.9,6,8,4,12.9,6,10,2,14.0,1,0,0
2024IFC025,Aditya Mahendra,IF-C,21,0,136.3,6,9,3,14.7,6,11,1,13.5,1,0,1
2024IFC026,Rian Wulandari,IF-C,22,1,131.1,6,7,5,13.6,6,10,2,11.1,1,0,0
2024IFC027,Siti Mahendra,IF-C,22,1,122.2,6,8,4,13.4,6,9,3,11.7,1,0,1
2024IFC028,Citra Kusuma,IF-C,22,0,121.8,6,7,5,11.7,6,10,2,11.2,0,0,0
2024IFC029,Gita Permana,IF-C,18,1,134.6,6,8,4,15.0,6,11,1,12.7,1,1,0
2024IFC030,Siti Utami,IF-C,19,0,128.9,6,8,4,13.5,6,9,3,12.8,1,0,0
2024IFC031,Farhan Kusuma,IF-C,18,0,115.5,6,7,5,10.5,6,9,3,13.6,1,0,0
2024IFC032,Dimas Nasution,IF-C,19,1,128.1,6,8,4,13.6,6,6,6,14.5,1,0,0
2024IFC033,Ilham Utami,IF-C,19,1,117.1,6,6,6,13.0,6,9,3,12.1,1,0,0
2024IFC034,Joko Utami,IF-C,20,1,127.3,6,7,5,11.1,6,6,6,9.5,1,0,1
2024IFC035,Wahyu Ramadhan,IF-C,19,1,129.0,6,6,6,12.7,6,8,4,11.5,1,0,0
2024IFC036,Farhan Utami,IF-C,20,0,137.9,6,7,5,11.8,6,9,3,11.7,0,1,0
2024IFC037,Dewi Setiawan,IF-C,21,0,133.5,6,6,6,18.0,6,6,6,12.6,0,0,1
2024IFC038,Nadia Siregar,IF-C,22,0,136.4,6,8,4,13.3,6,7,5,13.5,1,0,0
2024IFC039,Taufik Pratama,IF-C,21,1,126.0,6,8,4,11.5,6,6,6,12.0,1,0,0
2024IFC040,Gita Nugroho,IF-C,21,1,130.3,6,7,5,9.3,6,10,2,13.1,1,0,0
