NIM,Nama_Mahasiswa,Kelas,Age_at_enrollment,Gender,Admission_grade,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Tuition_fees_up_to_date,Debtor,Scholarship_holder
2024IFA038,Farhan Nasution,IF-A,21,0,127.2,6,6,6,14.6,6,8,4,16.5,1,0,0
2024IFA039,Indah Pratama,IF-A,20,1,150.5,6,6,6,12.6,6,7,5,14.1,1,1,0
2024IFA040,Dewi Ramadhan,IF-A,21,1,134.4,6,9,3,14.3,6,8,4,12.7,1,0,0
2024IFB001,Budi Utami,IF-B,19,1,144.9,6,6,6,13.4,6,7,5,15.6,1,0,0
2024IFB002,Wahyu Hidayat,IF-B,18,1,126.7,6,6,6,14.6,6,8,4,14.8,1,0,0
2024IFB003,Oki Pratama,IF-B,18,1,139.7,6,7,5,15.1,6,8,4,15.1,1,0,0
2024IFB004,Lestari Saputra,IF-B,18,1,142.4,6,7,5,12.9,6,7,5,9.7,1,0,0
2024IFB005,Dinda Saputra,IF-B,21,0,133.6,6,7,5,10.5,6,7,5,13.4,1,0,0
2024IFB006,Ilham Anggraini,IF-B,21,0,125.9,6,7,5,15.6,6,7,5,12.4,1,0,0
2024IFB007,Dinda Anggraini,IF-B,21,1,127.2,6,7,5,14.1,6,8,4,13.2,1,1,0
2024IFB008,Kartika Firmansyah,IF-B,19,0,140.4,6,7,5,15.5,6,9,3,11.9,1,0,0
2024IFB009,Putri Pratama,IF-B,18,1,129.0,6,7,5,13.4,6,8,4,12.7,1,0,0
2024IFB010,Putri Setiawan,IF-B,18,1,135.8,6,8,4,14.4,6,8,4,14.8,1,0,0
2024IFB011,Joko Setiawan,IF-B,19,1,150.6,6,7,5,12.0,6,7,5,14.9,1,0,0
2024IFB012,Annisa Siregar,IF-B,18,1,135.5,6,8,4,14.2,6,6,6,15.5,1,0,1
2024IFB013,Fajar Utami,IF-B,18,1,132.3,6,6,6,14.6,6,7,5,14.0,1,0,1
2024IFB014,Dewi Setiawan,IF-B,20,0,129.1,6,7,5,15.3,6,7,5,16.3,1,0,1
2024IFB015,Rafi Hidayat,IF-B,20,0,130.1,6,7,5,13.0,6,8,4,15.1,1,0,0
2024IFB016,Joko Hidayat,IF-B,20,1,124.8,6,8,4,14.2,6,6,6,14.2,1,0,0
2024IFB017,Farhan Puspa,IF-B,20,1,148.5,6,6,6,12.8,6,6,6,14.6,1,0,0
2024IFB018,Reza Ramadhan,IF-B,20,1,147.7,6,6,6,13.2,6,6,6,16.4,1,0,0
2024IFB019,Aditya Permana,IF-B,18,1,131.8,6,7,5,14.1,6,8,4,12.3,1,0,1
2024IFB020,Dewi Siregar,IF-B,20,1,140.5,6,6,6,11.4,6,10,2,12.3,1,0,0
2024IFB021,Farhan Nugroho,IF-B,21,0,137.5,6,7,5,15.0,6,7,5,13.2,1,0,0
2024IFB022,Reza Nugroho,IF-B,21,0,139.3,6,7,5,13.8,6,6,6,13.0,1,0,1
2024IFB023,Siti Anggraini,IF-B,18,0,143.1,6,8,4,16.0,6,8,4,12.6,1,1,0
2024IFB024,Putri Saputra,IF-B,20,1,135.0,6,6,6,15.8,6,8,4,14.1,1,0,0
2024IFB025,Budi Pratama,IF-B,20,1,137.1,6,6,6,13.3,6,7,5,14.5,1,0,1
2024IFB026,Farhan Wijaya,IF-B,21,1,150.4,6,7,5,15.0,6,7,5,14.2,1,0,0
2024IFB027,Dian Utami,IF-B,21,0,138.1,6,6,6,17.1,6,8,4,13.2,1,0,0
2024IFB028,Hadi Anggraini,IF-B,18,1,151.6,6,6,6,13.6,6,8,4,10.0,1,0,0
2024IFB029,Budi Firmansyah,IF-B,19,0,136.0,6,7,5,11.5,6,6,6,14.6,1,0,0
2024IFB030,Siti Firmansyah,IF-B,21,1,142.3,6,7,5,13.3,6,7,5,12.3,1,0,1
2024IFB031,Ilham Nugroho,IF-B,18,1,139.1,6,8,4,10.0,6,8,4,16.9,1,0,0
2024IFB032,Dimas Hidayat,IF-B,20,1,131.1,6,7,5,13.6,6,6,6,13.6,1,0,1
2024IFB033,Dian Kusuma,IF-B,19,0,138.5,6,7,5,13.4,6,6,6,15.2,1,0,0
2024IFB034,Rian Mahendra,IF-B,19,1,117.2,6,6,6,15.5,6,6,6,12.8,1,0,1
2024IFB035,Citra Setiawan,IF-B,21,0,153.7,6,8,4,13.3,6,9,3,15.0,1,0,1
2024IFB036,Kartika Santoso,IF-B,19,0,129.9,6,7,5,13.7,6,8,4,15.0,1,0,0
2024IFB037,Aulia Mahendra,IF-B,19,1,123.5,6,6,6,13.6,6,6,6,15.4,0,0,0
2024IFB038,Budi Nasution,IF-B,19,1,139.5,6,7,5,14.8,6,8,4,10.9,1,0,0
2024IFB039,Nadia Wijaya,IF-B,20,1,128.5,6,7,5,15.2,6,8,4,15.9,1,1,0
2024IFB040,Bagas Nugroho,IF-B,21,1,132.0,6,6,6,12.9,6,6,6,15.4,1,0,1
2024IFC001,Dewi Permana,IF-C,19,0,131.9,6,7,5,14.2,6,9,3,12.2,1,0,0
2024IFC002,Kartika Setiawan,IF-C,19,1,134.3,6,6,6,13.2,6,8,4,13.6,1,0,1
2024IFC003,Eko Firmansyah,IF-C,18,0,158.3,6,6,6,14.3,6,6,6,12.4,1,0,0
2024IFC004,Reza Hidayat,IF-C,18,1,152.0,6,6,6,14.3,6,6,6,16.0,1,0,0
2024IFC005,Dewi Utami,IF-C,20,0,113.1,6,7,5,15.6,6,8,4,16.8,1,0,1
2024IFC006,Rafi Permana,IF-C,18,1,149.2,6,7,5,12.4,6,7,5,14.5,1,0,0
2024IFC007,Lestari Siregar,IF-C,18,1,138.1,6,6,6,14.8,6,6,6,13.7,1,0,0
2024IFC008,Hadi Mahendra,IF-C,21,1,141.2,6,7,5,15.2,6,6,6,15.8,1,0,1
2024IFC009,Kartika Utami,IF-C,19,1,166.2,6,7,5,13.0,6,7,5,14.3,1,0,0
2024IFC010,Eko Setiawan,IF-C,19,1,149.5,6,7,5,11.9,6,6,6,14.9,1,0,0
2024IFC011,Putri Siregar,IF-C,21,0,129.5,6,7,5,13.7,6,6,6,13.0,1,1,0
2024IFC012,Annisa Utami,IF-C,19,1,142.0,6,9,3,14.4,6,8,4,15.8,1,0,1
2024IFC013,Indah Wijaya,IF-C,21,0,155.1,6,8,4,13.5,6,7,5,11.1,0,0,0
2024IFC014,Aditya Firmansyah,IF-C,19,1,129.6,6,8,4,16.4,6,8,4,15.7,1,0,0
2024IFC015,Fajar Nasution,IF-C,20,1,123.1,6,6,6,10.4,6,8,4,13.3,1,0,0
2024IFC016,Dewi Santoso,IF-C,18,1,146.2,6,7,5,15.2,6,7,5,15.9,1,0,0
2024IFC017,Kartika Wijaya,IF-C,18,1,121.6,6,6,6,14.5,6,8,4,15.5,1,0,0
2024IFC018,Hadi Anggraini,IF-C,18,0,139.2,6,6,6,11.5,6,10,2,15.8,1,0,0
2024IFC019,Indah Nugroho,IF-C,20,0,126.0,6,7,5,16.8,6,7,5,11.8,1,0,0
2024IFC020,Budi Setiawan,IF-C,20,0,128.1,6,6,6,14.7,6,6,6,13.4,1,0,0
2024IFC021,Citra Santoso,IF-C,21,0,130.1,6,7,5,14.5,6,8,4,16.4,1,0,0
2024IFC022,Ilham Saputra,IF-C,19,0,131.9,6,6,6,15.5,6,9,3,15.0,1,0,0
2024IFC023,Aulia Mahendra,IF-C,19,0,142.3,6,6,6,17.1,6,6,6,17.7,1,0,0
2024IFC024,Bagas Wijaya,IF-C,18,1,148.4,6,6,6,11.8,6,6,6,16.6,0,0,1
2024IFC025,Kartika Wulandari,IF-C,18,0,148.9,6,7,5,14.1,6,6,6,15.0,1,0,1
2024IFC026,Budi Permana,IF-C,21,0,138.8,6,7,5,15.2,6,7,5,16.0,1,0,0
2024IFC027,Rian Setiawan,IF-C,19,1,141.6,6,9,3,14.0,6,8,4,12.7,1,0,0
2024IFC028,Budi Santoso,IF-C,19,0,140.3,6,7,5,14.1,6,6,6,10.7,1,1,0
2024IFC029,Annisa Santoso,IF-C,20,1,132.7,6,7,5,15.1,6,7,5,13.4,0,0,1
2024IFC030,Fajar Mahendra,IF-C,21,0,134.4,6,7,5,13.3,6,6,6,14.3,1,0,0
2024IFC031,Wahyu Nugroho,IF-C,20,0,128.0,6,6,6,15.2,6,7,5,14.4,1,0,0
2024IFC032,Dewi Pratama,IF-C,19,0,138.5,6,7,5,16.4,6,7,5,15.6,1,0,1
2024IFC033,Nadia Utami,IF-C,18,0,153.1,6,6,6,13.5,6,9,3,13.4,0,0,0
2024IFC034,Ilham Nugroho,IF-C,18,0,155.2,6,7,5,14.1,6,7,5,11.7,1,0,1
2024IFC035,Ilham Hidayat,IF-C,18,0,151.1,6,7,5,15.6,6,10,2,14.0,1,0,0
2024IFC036,Citra Nasution,IF-C,21,0,127.3,6,7,5,10.9,6,10,2,15.7,1,0,0
2024IFC037,Aulia Permana,IF-C,20,1,144.0,6,7,5,13.9,6,6,6,12.5,1,1,0
2024IFC038,Muhammad Wijaya,IF-C,20,1,126.2,6,7,5,15.2,6,10,2,11.6,1,1,0
2024IFC039,Bagas Siregar,IF-C,18,1,136.8,6,6,6,14.6,6,6,6,15.6,1,0,1
2024IFC040,Aditya Anggraini,IF-C,18,1,125.9,6,7,5,15.9,6,6,6,16.2,0,1,0
