NIM,Nama_Mahasiswa,Kelas,Age_at_enrollment,Gender,Admission_grade,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Tuition_fees_up_to_date,Debtor,Scholarship_holder
2024IFA028,Dimas Nugraha,IF-A,18,1,163.6,6,6,6,16.5,6,7,6,16.7,1,0,0
2024IFA029,Vina Permana,IF-A,18,0,127.8,6,7,5,13.7,6,6,5,16.3,1,0,0
2024IFA030,Ilham Wijaya,IF-A,20,1,122.1,6,6,6,16.3,6,7,5,13.5,1,0,1
2024IFA031,Vina Puspa,IF-A,20,0,117.9,6,4,1,9.2,6,2,1,6.5,0,0,0
2024IFA032,Citra Wibowo,IF-A,19,1,142.5,6,6,6,13.3,6,6,5,17.7,1,0,0
2024IFB033,Citra Ramadhan,IF-B,21,1,125.8,6,6,6,17.2,6,6,6,16.3,1,0,1
2024IFB034,Reza Utomo,IF-B,21,1,113.5,6,2,3,10.3,6,2,0,6.8,0,1,0
2024IFB035,Putri Handayani,IF-B,20,0,159.5,6,6,6,17.3,6,6,6,16.8,1,0,0
2024IFB036,Zack Hidayat,IF-B,20,1,146.1,6,7,6,16.8,6,6,6,16.7,1,0,1
2024IFB037,Anisa Puspa,IF-B,19,0,133.4,6,7,5,12.6,6,7,6,14.8,1,0,0
2024IFB038,Citra Wahyuni,IF-B,21,1,140.2,6,6,6,15.3,6,6,6,17.0,1,0,0
2024IFB039,Rafi Firmansyah,IF-B,19,1,139.9,6,6,6,16.0,6,6,6,16.8,1,0,0
2024IFB040,Ilham Utomo,IF-B,19,0,137.8,6,7,6,12.9,6,6,5,15.9,1,0,0
2024IFB041,Anisa Firmansyah,IF-B,21,1,135.8,6,6,6,16.4,6,6,6,14.2,1,0,0
2024IFB042,Satria Syahputra,IF-B,19,1,122.5,6,6,5,16.6,6,6,6,15.9,1,0,0
2024IFB043,Anisa Pratama,IF-B,19,1,156.1,6,6,6,12.7,6,7,6,17.6,1,0,0
2024IFB044,Bella Puspa,IF-B,19,0,101.5,6,4,3,11.5,6,2,1,3.8,0,0,0
2024IFB045,Zack Nugraha,IF-B,21,0,147.9,6,7,6,15.7,6,7,6,15.9,1,0,1
2024IFB046,Zahra Maharani,IF-B,18,1,156.6,6,6,6,13.2,6,7,5,17.7,1,0,0
2024IFB047,Bagas Wibowo,IF-B,19,0,144.8,6,7,5,14.4,6,7,6,17.9,1,0,0
2024IFB048,Nabila Maharani,IF-B,19,0,121.7,6,6,5,12.8,6,6,6,15.7,1,0,0
2024IFB049,Indah Wijaya,IF-B,19,0,158.2,6,7,6,13.5,6,6,6,16.0,1,0,1
2024IFB050,Zahra Saputra,IF-B,21,1,121.0,6,7,6,16.4,6,7,6,17.1,1,0,0
2024IFB051,Rania Maharani,IF-B,23,1,113.6,6,4,2,8.7,6,2,1,3.5,0,1,0
2024IFB052,Wulan Saputra,IF-B,19,0,140.3,6,7,6,15.6,6,6,6,17.0,1,0,0
2024IFB053,Anisa Puspa,IF-B,19,1,147.9,6,7,6,15.7,6,6,6,15.7,1,0,0
2024IFB054,Rangga Anggraini,IF-B,21,0,151.3,6,7,6,14.9,6,7,6,16.0,1,0,1
2024IFB055,Aulia Wibowo,IF-B,23,1,111.5,6,2,1,9.2,6,2,1,1.3,0,1,0
2024IFB056,Yoga Lestari,IF-B,20,1,161.4,6,7,5,16.8,6,6,5,13.9,1,0,1
2024IFB057,Fitria Utomo,IF-B,20,0,143.9,6,7,6,12.7,6,6,6,16.4,1,0,0
2024IFB058,Salma Syahputra,IF-B,19,1,144.0,6,6,6,16.2,6,6,6,14.6,1,0,1
2024IFB059,Reza Maharani,IF-B,18,1,150.6,6,6,6,14.9,6,7,6,15.9,1,0,0
2024IFB060,Bella Wibowo,IF-B,19,1,160.5,6,6,6,14.3,6,6,6,17.7,1,0,1
2024IFB061,Hafiz Anggraini,IF-B,21,0,97.6,6,4,2,8.2,6,3,0,0.5,0,1,0
2024IFB062,Hafiz Saputra,IF-B,20,1,158.9,6,6,6,15.0,6,7,6,17.6,1,0,0
2024IFC063,Bella Syahputra,IF-C,19,1,163.6,6,7,6,15.0,6,6,6,16.5,1,0,0
2024IFC064,Vina Setiawan,IF-C,18,0,144.0,6,7,5,14.8,6,7,6,17.9,1,0,0
2024IFC065,Aditya Wijaya,IF-C,19,0,112.9,6,4,2,10.8,6,1,2,8.5,0,1,0
2024IFC066,Rangga Permana,IF-C,20,1,123.0,6,7,6,12.7,6,6,6,17.0,1,0,1
2024IFC067,Dinda Wijaya,IF-C,20,0,148.5,6,6,6,16.9,6,7,6,15.3,1,0,0
2024IFC068,Tiara Santoso,IF-C,20,1,142.6,6,6,6,14.5,6,6,6,17.5,1,0,0
2024IFC069,Hafiz Kusuma,IF-C,21,0,151.2,6,6,5,15.6,6,6,6,15.9,1,0,0
2024IFC070,Tiara Wijaya,IF-C,18,0,121.5,6,7,6,15.0,6,7,6,17.1,1,0,1
2024IFC071,Laras Puspa,IF-C,18,0,144.3,6,7,6,16.1,6,6,6,16.0,1,0,0
2024IFC072,Rania Wijaya,IF-C,19,1,160.9,6,7,6,14.6,6,6,6,13.8,1,0,0
2024IFC073,Nabila Pratama,IF-C,22,0,112.8,6,2,1,10.5,6,1,1,5.8,0,1,0
2024IFC074,Mahendra Permana,IF-C,20,1,125.5,6,7,6,16.7,6,6,5,14.7,1,0,0
2024IFC075,Yoga Handayani,IF-C,18,1,135.1,6,6,6,15.5,6,7,5,15.7,1,0,0
2024IFC076,Aulia Saputra,IF-C,21,1,130.1,6,6,6,13.7,6,7,6,15.1,1,0,0
2024IFC077,Wulan Setiawan,IF-C,21,1,129.6,6,6,6,17.3,6,7,5,17.3,1,0,0
2024IFC078,Ilham Pratama,IF-C,19,1,153.7,6,6,6,14.2,6,6,6,13.2,1,0,0
2024IFC079,Aulia Pratama,IF-C,20,1,143.7,6,6,6,14.5,6,6,6,13.5,1,0,0
2024IFC080,Dimas Wibowo,IF-C,19,1,143.7,6,6,6,13.3,6,6,6,15.0,1,0,0
2024IFC081,Indah Nugraha,IF-C,23,0,100.4,6,4,1,10.5,6,2,2,6.0,1,0,0
2024IFC082,Fitria Handayani,IF-C,20,1,160.3,6,6,5,16.2,6,7,6,13.9,1,0,0
2024IFC083,Bagas Pratama,IF-C,21,1,135.1,6,6,6,15.5,6,6,6,14.7,1,0,0
2024IFC084,Dinda Ramadhan,IF-C,19,1,154.4,6,7,5,15.3,6,6,6,17.0,1,0,0
2024IFC085,Taufiq Permana,IF-C,18,0,138.1,6,7,6,16.7,6,7,6,17.5,1,0,0
2024IFC086,Hafiz Safitri,IF-C,19,1,145.9,6,6,6,14.5,6,7,6,14.0,1,0,1
2024IFC087,Nabila Santoso,IF-C,19,1,147.0,6,6,6,15.4,6,6,6,14.9,1,0,0
2024IFD088,Salma Setiawan,IF-D,23,1,113.1,6,2,2,9.4,6,1,2,7.2,0,0,0
2024IFD089,Laras Wijaya,IF-D,19,0,121.4,6,6,6,16.7,6,6,6,16.0,1,0,0
2024IFD090,Dinda Permana,IF-D,19,0,107.4,6,4,1,10.1,6,3,0,0.8,0,1,0
2024IFD091,Hafiz Saputra,IF-D,23,0,97.7,6,2,3,8.5,6,1,1,4.5,0,1,0
2024IFD092,Mahendra Handayani,IF-D,18,1,151.2,6,6,6,17.0,6,6,6,17.9,1,0,0
2024IFD093,Rafi Anggraini,IF-D,20,1,145.0,6,6,6,12.7,6,6,6,14.0,1,0,1
2024IFD094,Tiara Safitri,IF-D,21,1,158.0,6,7,6,15.7,6,7,6,14.2,1,0,1
2024IFD095,Gilang Setiawan,IF-D,20,1,138.2,6,7,6,15.2,6,6,6,16.7,1,0,0
2024IFD096,Reza Saputra,IF-D,20,1,124.7,6,4,3,8.6,6,3,1,0.7,0,1,0
2024IFD097,Vina Handayani,IF-D,21,1,159.3,6,7,6,13.0,6,7,6,16.7,1,0,1
2024IFD098,Taufiq Safitri,IF-D,19,0,146.5,6,6,6,17.4,6,6,6,15.0,1,0,1
2024IFD099,Gilang Wijaya,IF-D,24,1,124.5,6,3,3,10.1,6,1,1,9.9,0,1,0
2024IFD100,Tiara Handayani,IF-D,19,0,130.4,6,7,5,12.7,6,7,6,14.8,1,0,1
2024IFD101,Anisa Permana,IF-D,19,1,143.6,6,6,6,16.3,6,7,6,17.5,1,0,0
2024IFD102,Tiara Lestari,IF-D,22,0,112.4,6,4,2,11.1,6,3,2,1.3,1,0,0
2024IFD103,Naufal Lestari,IF-D,18,0,153.1,6,7,6,14.4,6,6,6,13.2,1,0,0
2024IFD104,Zack Syahputra,IF-D,18,1,158.3,6,7,6,15.1,6,6,6,14.7,1,0,0
2024IFD105,Satria Pratama,IF-D,20,1,159.1,6,6,6,16.8,6,6,6,14.2,1,0,0
2024IFD106,Rania Santoso,IF-D,23,1,121.4,6,2,2,8.1,6,2,2,1.3,0,0,0
2024IFD107,Fajar Saputra,IF-D,18,1,131.6,6,6,5,15.6,6,6,6,13.6,1,0,0
2024IFD108,Satria Kusuma,IF-D,21,0,117.8,6,2,2,11.4,6,3,2,9.3,0,0,0
2024IFD109,Aulia Hidayat,IF-D,18,0,154.7,6,7,6,14.2,6,6,6,17.3,1,0,0
2024IFD110,Reza Hidayat,IF-D,21,1,154.1,6,6,5,16.6,6,7,6,16.9,1,0,0
2024IFD111,Taufiq Saputra,IF-D,18,1,124.6,6,6,6,16.5,6,7,6,17.2,1,0,0
2024IFD112,Rangga Kusuma,IF-D,21,1,121.4,6,6,6,14.6,6,7,6,16.8,1,0,0
2024IFD113,Putri Santoso,IF-D,18,1,129.0,6,7,6,14.3,6,7,6,15.7,1,0,1
2024IFD114,Tiara Handayani,IF-D,21,1,120.3,6,4,3,10.8,6,2,0,6.2,1,1,0
2024IFD115,Anisa Ramadhan,IF-D,18,1,129.0,6,6,6,15.8,6,7,6,17.0,1,0,0
2024IFD116,Mahendra Handayani,IF-D,20,1,109.4,6,3,3,9.0,6,1,0,8.6,1,1,0
